geoid,geoid20,year,denom_renters,med_gross_rent,med_gross_rent_adj
1400000US06037101110,6037101110,2019,732,1737,1737
1400000US06037101122,6037101122,2019,240,2198,2198
1400000US06037101220,6037101220,2019,822,1197,1197
1400000US06037101221,6037101221,2019,1032,1423,1423
1400000US06037101222,6037101222,2019,864,1423,1423
1400000US06037101300,6037101300,2019,190,2371,2371
1400000US06037101400,6037101400,2019,416,1335,1335
1400000US06037102103,6037102103,2019,231,2216,2216
1400000US06037102104,6037102104,2019,303,2547,2547
1400000US06037102105,6037102105,2019,257,1590,1590
1400000US06037102107,6037102107,2019,388,1259,1259
1400000US06037103101,6037103101,2019,128,2375,2375
1400000US06037103102,6037103102,2019,428,1406,1406
1400000US06037103201,6037103201,2019,226,1218,1218
1400000US06037103202,6037103202,2019,548,1218,1218
1400000US06037103300,6037103300,2019,157,2438,2438
1400000US06037103401,6037103401,2019,504,1695,1695
1400000US06037103402,6037103402,2019,395,1695,1695
1400000US06037104103,6037104103,2019,154,2019,2019
1400000US06037104105,6037104105,2019,777,981,981
1400000US06037104108,6037104108,2019,887,1434,1434
1400000US06037104124,6037104124,2019,284,1221,1221
1400000US06037104201,6037104201,2019,278,1602,1602
1400000US06037104203,6037104203,2019,591,1338,1338
1400000US06037104204,6037104204,2019,268,1347,1347
1400000US06037104310,6037104310,2019,214,2426,2426
1400000US06037104321,6037104321,2019,300,1116,1116
1400000US06037104322,6037104322,2019,399,1116,1116
1400000US06037104401,6037104401,2019,254,1565,1565
1400000US06037104403,6037104403,2019,250,1629,1629
1400000US06037104404,6037104404,2019,369,1391,1391
1400000US06037104500,6037104500,2019,160,1464,1464
1400000US06037104610,6037104610,2019,251,1427,1427
1400000US06037104620,6037104620,2019,255,1862,1862
1400000US06037104701,6037104701,2019,725,1267,1267
1400000US06037104703,6037104703,2019,359,1372,1372
1400000US06037104704,6037104704,2019,456,1478,1478
1400000US06037104821,6037104821,2019,373,1485,1485
1400000US06037104822,6037104822,2019,416,1655,1655
1400000US06037104823,6037104823,2019,141,1692,1692
1400000US06037104824,6037104824,2019,157,1692,1692
1400000US06037106010,6037106010,2019,230,2079,2079
1400000US06037106020,6037106020,2019,265,1879,1879
1400000US06037106111,6037106111,2019,107,2439,2439
1400000US06037106112,6037106112,2019,263,1990,1990
1400000US06037106113,6037106113,2019,198,2157,2157
1400000US06037106114,6037106114,2019,891,1422,1422
1400000US06037106403,6037106403,2019,164,2006,2006
1400000US06037106405,6037106405,2019,716,1383,1383
1400000US06037106406,6037106406,2019,378,1794,1794
1400000US06037106407,6037106407,2019,709,1556,1556
1400000US06037106408,6037106408,2019,777,1466,1466
